時間,用戶1,用戶2,用戶3,用戶4,用戶5,用戶6,用戶7,用戶8
2021/1/1 00:00:00,154,53,436,4014,4276,1628,2557,204
2021/1/1 01:00:00,152,51,430,3997,4270,1627,2553,203
2021/1/1 02:00:00,152,52,433,3974,4268,1627,2557,202
2021/1/1 03:00:00,152,51,432,3961,4276,1628,2570,201
2021/1/1 04:00:00,152,51,433,3952,4277,1625,2572,201
2021/1/1 05:00:00,154,51,444,3944,4274,1615,2571,203
2021/1/1 06:00:00,152,50,454,3943,4283,1610,2576,209
2021/1/1 07:00:00,153,53,536,3954,4291,1625,2589,211
2021/1/1 08:00:00,156,55,585,3976,4288,1630,2616,227
2021/1/1 09:00:00,160,57,567,4015,4292,1628,2607,241
2021/1/1 10:00:00,161,59,579,4031,4299,1632,2613,244
2021/1/1 11:00:00,162,59,611,4034,4303,1633,2618,241
2021/1/1 12:00:00,163,60,627,4037,4300,1630,2631,240
2021/1/1 13:00:00,164,60,606,4044,4304,1633,2620,239
2021/1/1 14:00:00,167,60,645,4054,4298,1631,2607,241
2021/1/1 15:00:00,165,60,604,4067,4302,1635,2610,240
2021/1/1 16:00:00,164,59,594,4070,4306,1635,2604,233
2021/1/1 17:00:00,163,56,632,4062,4304,1636,2609,227
2021/1/1 18:00:00,160,54,578,4030,4299,1637,2614,223
2021/1/1 19:00:00,163,53,555,4023,4299,1641,2610,219
2021/1/1 20:00:00,161,53,539,4030,4285,1632,2585,212
2021/1/1 21:00:00,155,53,532,4047,4283,1629,2582,211
2021/1/1 22:00:00,154,53,480,4037,4282,1630,2585,208
2021/1/1 23:00:00,153,52,469,4029,4279,1629,2581,206
2021/1/2 00:00:00,204,53,436,4014,4276,1628,2557,204
2021/1/2 01:00:00,203,51,430,3997,4270,1627,2553,203
2021/1/2 02:00:00,202,52,433,3974,4268,1627,2557,202
2021/1/2 03:00:00,201,51,432,3961,4276,1628,2570,201
2021/1/2 04:00:00,201,51,433,3952,4277,1625,2572,201
2021/1/2 05:00:00,203,51,444,3944,4274,1615,2571,203
2021/1/2 06:00:00,209,50,454,3943,4283,1610,2576,209
2021/1/2 07:00:00,211,53,536,3954,4291,1625,2589,211
2021/1/2 08:00:00,227,55,585,3976,4288,1630,2616,227
2021/1/2 09:00:00,241,57,567,4015,4292,1628,2607,241
2021/1/2 10:00:00,244,59,579,4031,4299,1632,2613,244
2021/1/2 11:00:00,241,59,611,4034,4303,1633,2618,241
2021/1/2 12:00:00,240,60,627,4037,4300,1630,2631,240
2021/1/2 13:00:00,239,60,606,4044,4304,1633,2620,239
2021/1/2 14:00:00,241,60,645,4054,4298,1631,2607,241
2021/1/2 15:00:00,240,60,604,4067,4302,1635,2610,240
2021/1/2 16:00:00,233,59,594,4070,4306,1635,2604,233
2021/1/2 17:00:00,227,56,632,4062,4304,1636,2609,227
2021/1/2 18:00:00,223,54,578,4030,4299,1637,2614,223
2021/1/2 19:00:00,219,53,555,4023,4299,1641,2610,219
2021/1/2 20:00:00,212,53,539,4030,4285,1632,2585,212
2021/1/2 21:00:00,211,53,532,4047,4283,1629,2582,211
2021/1/2 22:00:00,208,53,480,4037,4282,1630,2585,208
2021/1/2 23:00:00,206,52,469,4029,4279,1629,2581,206
2021/1/3 00:00:00,204,53,436,4014,4276,1628,2557,204
2021/1/3 01:00:00,203,51,430,3997,4270,1627,2553,203
2021/1/3 02:00:00,202,52,433,3974,4268,1627,2557,202
2021/1/3 03:00:00,201,51,432,3961,4276,1628,2570,201
2021/1/3 04:00:00,201,51,433,3952,4277,1625,2572,201
2021/1/3 05:00:00,203,51,444,3944,4274,1615,2571,203
2021/1/3 06:00:00,209,50,454,3943,4283,1610,2576,209
2021/1/3 07:00:00,211,53,536,3954,4291,1625,2589,211
2021/1/3 08:00:00,227,55,585,3976,4288,1630,2616,227
2021/1/3 09:00:00,241,57,567,4015,4292,1628,2607,241
2021/1/3 10:00:00,244,59,579,4031,4299,1632,2613,244
2021/1/3 11:00:00,241,59,611,4034,4303,1633,2618,241
2021/1/3 12:00:00,240,60,627,4037,4300,1630,2631,240
2021/1/3 13:00:00,239,60,606,4044,4304,1633,2620,239
2021/1/3 14:00:00,241,60,645,4054,4298,1631,2607,241
2021/1/3 15:00:00,240,60,604,4067,4302,1635,2610,240
2021/1/3 16:00:00,233,59,594,4070,4306,1635,2604,233
2021/1/3 17:00:00,227,56,632,4062,4304,1636,2609,227
2021/1/3 18:00:00,223,54,578,4030,4299,1637,2614,223
2021/1/3 19:00:00,219,53,555,4023,4299,1641,2610,219
2021/1/3 20:00:00,212,53,539,4030,4285,1632,2585,212
2021/1/3 21:00:00,211,53,532,4047,4283,1629,2582,211
2021/1/3 22:00:00,208,53,480,4037,4282,1630,2585,208
2021/1/3 23:00:00,206,52,469,4029,4279,1629,2581,206
2021/1/4 00:00:00,193,58,400,4014,4276,1628,2557,193
2021/1/4 01:00:00,191,55,393,3997,4270,1627,2553,191
2021/1/4 02:00:00,189,56,394,3974,4268,1627,2557,189
2021/1/4 03:00:00,189,54,392,3961,4276,1628,2570,189
2021/1/4 04:00:00,189,54,393,3952,4277,1625,2572,189
2021/1/4 05:00:00,199,56,453,3944,4274,1615,2571,199
2021/1/4 06:00:00,380,72,562,3943,4283,1610,2576,380
2021/1/4 07:00:00,607,358,1036,3954,4291,1625,2589,607
2021/1/4 08:00:00,865,461,1438,3976,4288,1630,2616,865
2021/1/4 09:00:00,908,545,1475,4015,4292,1628,2607,908
2021/1/4 10:00:00,896,546,1468,4031,4299,1632,2613,896
