時間,電廠1,電廠4
2021/01/01 00:00:00,0.0,0.0
2021/01/01 01:00:00,0.0,0.0
2021/01/01 02:00:00,0.0,0.0
2021/01/01 03:00:00,0.0,0.0
2021/01/01 04:00:00,0.0,0.0
2021/01/01 05:00:00,0.0,0.0
2021/01/01 06:00:00,4.1,3.5999999999999996
2021/01/01 07:00:00,100.0,258.35
2021/01/01 08:00:00,464.20000000000005,903.0500000000001
2021/01/01 09:00:00,861.2,2133.4
2021/01/01 10:00:00,1037.1,3620.55
2021/01/01 11:00:00,1484.4499999999998,3597.9500000000003
2021/01/01 12:00:00,1501.35,3278.85
2021/01/01 13:00:00,1382.0500000000002,3456.6000000000004
2021/01/01 14:00:00,1126.85,2791.1000000000004
2021/01/01 15:00:00,701.9499999999999,1774.8
2021/01/01 16:00:00,270.15,631.1999999999999
2021/01/01 17:00:00,22.549999999999997,50.85
2021/01/01 18:00:00,0.0,0.0
2021/01/01 19:00:00,0.0,0.0
2021/01/01 20:00:00,0.0,0.0
2021/01/01 21:00:00,0.0,0.0
2021/01/01 22:00:00,0.0,0.0
2021/01/01 23:00:00,0.0,0.0
2021/01/02 00:00:00,0.0,0.0
2021/01/02 01:00:00,0.0,0.0
2021/01/02 02:00:00,0.0,0.0
2021/01/02 03:00:00,0.0,0.0
2021/01/02 04:00:00,0.0,0.0
2021/01/02 05:00:00,0.0,0.0
2021/01/02 06:00:00,2.6,6.65
2021/01/02 07:00:00,172.45000000000002,437.0
2021/01/02 08:00:00,576.55,1577.6
2021/01/02 09:00:00,1016.6500000000001,2618.55
2021/01/02 10:00:00,1317.15,3365.1499999999996
2021/01/02 11:00:00,1459.3000000000002,3710.7
2021/01/02 12:00:00,1463.3000000000002,3746.75
2021/01/02 13:00:00,1346.5,3403.2
2021/01/02 14:00:00,1088.55,2758.0
2021/01/02 15:00:00,671.4,1770.25
2021/01/02 16:00:00,262.5,651.4
2021/01/02 17:00:00,23.25,58.05
2021/01/02 18:00:00,0.0,0.0
2021/01/02 19:00:00,0.0,0.0
2021/01/02 20:00:00,0.0,0.0
2021/01/02 21:00:00,0.0,0.0
2021/01/02 22:00:00,0.0,0.0
2021/01/02 23:00:00,0.0,0.0
2021/01/03 00:00:00,0.0,0.0
2021/01/03 01:00:00,0.0,0.0
2021/01/03 02:00:00,0.0,0.0
2021/01/03 03:00:00,0.0,0.0
2021/01/03 04:00:00,0.0,0.0
2021/01/03 05:00:00,0.0,0.0
2021/01/03 06:00:00,2.05,5.85
2021/01/03 07:00:00,174.25,426.45000000000005
2021/01/03 08:00:00,577.25,1500.5500000000002
2021/01/03 09:00:00,992.2,2508.4
2021/01/03 10:00:00,1287.8,3265.3500000000004
2021/01/03 11:00:00,1441.05,3613.75
2021/01/03 12:00:00,1453.75,3673.15
2021/01/03 13:00:00,1338.45,3333.15
2021/01/03 14:00:00,1092.5,2724.45
2021/01/03 15:00:00,689.55,1745.4499999999998
2021/01/03 16:00:00,267.04999999999995,664.4
2021/01/03 17:00:00,24.75,66.85
2021/01/03 18:00:00,0.0,0.0
2021/01/03 19:00:00,0.0,0.0
2021/01/03 20:00:00,0.0,0.0
2021/01/03 21:00:00,0.0,0.0
2021/01/03 22:00:00,0.0,0.0
2021/01/03 23:00:00,0.0,0.0
2021/01/04 00:00:00,0.0,0.0
2021/01/04 01:00:00,0.0,0.0
2021/01/04 02:00:00,0.0,0.0
2021/01/04 03:00:00,0.0,0.0
2021/01/04 04:00:00,0.0,0.0
2021/01/04 05:00:00,0.0,0.0
2021/01/04 06:00:00,0.75,3.95
2021/01/04 07:00:00,154.4,378.05
2021/01/04 08:00:00,528.8000000000001,1516.15
2021/01/04 09:00:00,962.6999999999999,2538.1
2021/01/04 10:00:00,1256.75,3253.25
2021/01/04 11:00:00,1387.25,3638.8999999999996
2021/01/04 12:00:00,1394.8500000000001,3658.3999999999996
2021/01/04 13:00:00,1293.85,3306.35
2021/01/04 14:00:00,1053.9,2603.65
2021/01/04 15:00:00,545.85,1691.8000000000002
2021/01/04 16:00:00,253.4,643.75
2021/01/04 17:00:00,21.45,60.15
2021/01/04 18:00:00,0.0,0.0
2021/01/04 19:00:00,0.0,0.0
2021/01/04 20:00:00,0.0,0.0
2021/01/04 21:00:00,0.0,0.0
2021/01/04 22:00:00,0.0,0.0
2021/01/04 23:00:00,0.0,0.0
2021/01/05 00:00:00,0.0,0.0
2021/01/05 01:00:00,0.0,0.0
2021/01/05 02:00:00,0.0,0.0
