時間,用戶1,用戶2,用戶3,用戶4,用戶5,用戶6,用戶7,用戶8
2021/07/01 00:00:00,222,60,505,1878.5,2238.0,906.5,1491.0,222
2021/07/01 01:00:00,221,59,499,1872.0,2234.5,906.5,1490.0,221
2021/07/01 02:00:00,220,60,502,1862.0,2232.0,904.0,1489.0,220
2021/07/01 03:00:00,221,58,499,1854.0,2233.5,903.5,1486.5,221
2021/07/01 04:00:00,223,59,500,1848.5,2234.5,903.0,1483.0,223
2021/07/01 05:00:00,264,61,542,1842.5,2232.5,898.5,1481.5,264
2021/07/01 06:00:00,782,82,770,1843.5,2237.5,896.5,1480.0,782
2021/07/01 07:00:00,1258,566,1552,1848.5,2243.0,907.0,1497.0,1258
2021/07/01 08:00:00,1434,758,1905,1863.0,2245.5,913.0,1521.5,1434
2021/07/01 09:00:00,1439,887,1881,1882.5,2248.5,916.0,1525.5,1439
2021/07/01 10:00:00,1419,888,1859,1894.0,2252.0,919.5,1531.0,1419
2021/07/01 11:00:00,1406,911,1879,1895.5,2253.0,923.5,1537.5,1406
2021/07/01 12:00:00,1364,893,1858,1892.5,2253.0,921.0,1545.5,1364
2021/07/01 13:00:00,1363,926,1898,1891.0,2256.0,921.5,1540.5,1363
2021/07/01 14:00:00,1340,942,1867,1909.5,2256.0,919.0,1540.5,1340
2021/07/01 15:00:00,1326,907,1848,1912.0,2259.5,920.5,1538.5,1326
2021/07/01 16:00:00,1284,793,1824,1910.0,2261.5,921.5,1535.5,1284
2021/07/01 17:00:00,931,498,1772,1906.5,2260.0,919.5,1539.0,931
2021/07/01 18:00:00,573,214,1147,1895.0,2256.0,917.0,1529.0,573
2021/07/01 19:00:00,350,184,920,1885.0,2254.5,916.0,1519.0,350
2021/07/01 20:00:00,284,70,815,1881.0,2246.0,911.0,1505.0,284
2021/07/01 21:00:00,251,63,717,1887.0,2244.5,910.0,1500.5,251
2021/07/01 22:00:00,238,64,617,1882.5,2244.0,910.5,1496.5,238
2021/07/01 23:00:00,229,61,544,1878.5,2241.0,908.5,1493.5,229
2021/07/02 00:00:00,222,60,505,1878.5,2238.0,906.5,1491.0,222
2021/07/02 01:00:00,221,59,499,1872.0,2234.5,906.5,1490.0,221
2021/07/02 02:00:00,220,60,502,1862.0,2232.0,904.0,1489.0,220
2021/07/02 03:00:00,221,58,499,1854.0,2233.5,903.5,1486.5,221
2021/07/02 04:00:00,223,59,500,1848.5,2234.5,903.0,1483.0,223
2021/07/02 05:00:00,264,61,542,1842.5,2232.5,898.5,1481.5,264
2021/07/02 06:00:00,782,82,770,1843.5,2237.5,896.5,1480.0,782
2021/07/02 07:00:00,1258,566,1552,1848.5,2243.0,907.0,1497.0,1258
2021/07/02 08:00:00,1434,758,1905,1863.0,2245.5,913.0,1521.5,1434
2021/07/02 09:00:00,1439,887,1881,1882.5,2248.5,916.0,1525.5,1439
2021/07/02 10:00:00,1419,888,1859,1894.0,2252.0,919.5,1531.0,1419
2021/07/02 11:00:00,1406,911,1879,1895.5,2253.0,923.5,1537.5,1406
2021/07/02 12:00:00,1364,893,1858,1892.5,2253.0,921.0,1545.5,1364
2021/07/02 13:00:00,1363,926,1898,1891.0,2256.0,921.5,1540.5,1363
2021/07/02 14:00:00,1340,942,1867,1909.5,2256.0,919.0,1540.5,1340
2021/07/02 15:00:00,1326,907,1848,1912.0,2259.5,920.5,1538.5,1326
2021/07/02 16:00:00,1284,793,1824,1910.0,2261.5,921.5,1535.5,1284
2021/07/02 17:00:00,931,498,1772,1906.5,2260.0,919.5,1539.0,931
2021/07/02 18:00:00,573,214,1147,1895.0,2256.0,917.0,1529.0,573
2021/07/02 19:00:00,350,184,920,1885.0,2254.5,916.0,1519.0,350
2021/07/02 20:00:00,284,70,815,1881.0,2246.0,911.0,1505.0,284
2021/07/02 21:00:00,251,63,717,1887.0,2244.5,910.0,1500.5,251
2021/07/02 22:00:00,238,64,617,1882.5,2244.0,910.5,1496.5,238
2021/07/02 23:00:00,229,61,544,1878.5,2241.0,908.5,1493.5,229
2021/07/03 00:00:00,204,53,436,1878.5,2238.0,906.5,1465.0,204
2021/07/03 01:00:00,203,51,430,1872.0,2234.5,906.5,1463.5,203
2021/07/03 02:00:00,202,52,433,1862.0,2232.0,904.0,1461.5,202
2021/07/03 03:00:00,201,51,432,1854.0,2233.5,903.5,1461.0,201
2021/07/03 04:00:00,201,51,433,1848.5,2234.5,903.0,1461.0,201
2021/07/03 05:00:00,203,51,444,1842.5,2232.5,898.5,1458.5,203
2021/07/03 06:00:00,209,50,454,1843.5,2237.5,896.5,1458.0,209
2021/07/03 07:00:00,211,53,536,1848.5,2243.0,907.0,1474.0,211
2021/07/03 08:00:00,227,55,585,1863.0,2245.5,913.0,1489.0,227
2021/07/03 09:00:00,241,57,567,1882.5,2248.5,916.0,1488.0,241
2021/07/03 10:00:00,244,59,579,1894.0,2252.0,919.5,1491.5,244
2021/07/03 11:00:00,241,59,611,1895.5,2253.0,923.5,1498.0,241
2021/07/03 12:00:00,240,60,627,1892.5,2253.0,921.0,1509.5,240
2021/07/03 13:00:00,239,60,606,1891.0,2256.0,921.5,1504.0,239
2021/07/03 14:00:00,241,60,645,1909.5,2256.0,919.0,1504.0,241
2021/07/03 15:00:00,240,60,604,1912.0,2259.5,920.5,1505.0,240
2021/07/03 16:00:00,233,59,594,1910.0,2261.5,921.5,1501.0,233
2021/07/03 17:00:00,227,56,632,1906.5,2260.0,919.5,1504.0,227
2021/07/03 18:00:00,223,54,578,1895.0,2256.0,917.0,1502.0,223
2021/07/03 19:00:00,219,53,555,1885.0,2254.5,916.0,1495.0,219
2021/07/03 20:00:00,212,53,539,1881.0,2246.0,911.0,1478.5,212
2021/07/03 21:00:00,211,53,532,1887.0,2244.5,910.0,1474.5,211
2021/07/03 22:00:00,208,53,480,1882.5,2244.0,910.5,1471.5,208
2021/07/03 23:00:00,206,52,469,1878.5,2241.0,908.5,1468.5,206
2021/07/04 00:00:00,204,53,436,1878.5,2238.0,906.5,1465.0,204
2021/07/04 01:00:00,203,51,430,1872.0,2234.5,906.5,1463.5,203
2021/07/04 02:00:00,202,52,433,1862.0,2232.0,904.0,1461.5,202
2021/07/04 03:00:00,201,51,432,1854.0,2233.5,903.5,1461.0,201
2021/07/04 04:00:00,201,51,433,1848.5,2234.5,903.0,1461.0,201
2021/07/04 05:00:00,203,51,444,1842.5,2232.5,898.5,1458.5,203
2021/07/04 06:00:00,209,50,454,1843.5,2237.5,896.5,1458.0,209
2021/07/04 07:00:00,211,53,536,1848.5,2243.0,907.0,1474.0,211
2021/07/04 08:00:00,227,55,585,1863.0,2245.5,913.0,1489.0,227
2021/07/04 09:00:00,241,57,567,1882.5,2248.5,916.0,1488.0,241
2021/07/04 10:00:00,244,59,579,1894.0,2252.0,919.5,1491.5,244
2021/07/04 11:00:00,241,59,611,1895.5,2253.0,923.5,1498.0,241
2021/07/04 12:00:00,240,60,627,1892.5,2253.0,921.0,1509.5,240
2021/07/04 13:00:00,239,60,606,1891.0,2256.0,921.5,1504.0,239
2021/07/04 14:00:00,241,60,645,1909.5,2256.0,919.0,1504.0,241
2021/07/04 15:00:00,240,60,604,1912.0,2259.5,920.5,1505.0,240
2021/07/04 16:00:00,233,59,594,1910.0,2261.5,921.5,1501.0,233
2021/07/04 17:00:00,227,56,632,1906.5,2260.0,919.5,1504.0,227
2021/07/04 18:00:00,223,54,578,1895.0,2256.0,917.0,1502.0,223
2021/07/04 19:00:00,219,53,555,1885.0,2254.5,916.0,1495.0,219
2021/07/04 20:00:00,212,53,539,1881.0,2246.0,911.0,1478.5,212
2021/07/04 21:00:00,211,53,532,1887.0,2244.5,910.0,1474.5,211
2021/07/04 22:00:00,208,53,480,1882.5,2244.0,910.5,1471.5,208
2021/07/04 23:00:00,206,52,469,1878.5,2241.0,908.5,1468.5,206
2021/07/05 00:00:00,222,60,505,1878.5,2238.0,906.5,1491.0,222
