時間,電廠1,電廠2,電廠3,電廠4,電廠5,電廠6,電廠7,電廠8
2021/07/01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/01 05:00:00,8.78,0.0,0.0,0.0,0.0,0.0,171.28,0.0
2021/07/01 06:00:00,84.7,1.82,2.05,1.44,1.5,12.8,2453.53,0.03
2021/07/01 07:00:00,237.42,74.59,81.02,103.34,48.57,522.4,6773.24,19.76
2021/07/01 08:00:00,329.5,200.14,216.39,361.22,214.5,1661.6,8533.52,45.63
2021/07/01 09:00:00,442.66,318.12,344.64,853.36,589.95,5174.6,10077.7,63.98
2021/07/01 10:00:00,373.04,710.66,769.01,1448.22,773.52,7675.8,12317.77,153.96
2021/07/01 11:00:00,372.98,699.65,699.34,1439.18,855.76,8540.8,10321.19,169.81
2021/07/01 12:00:00,374.88,310.43,326.06,1311.54,888.91,8641.4,12208.95,117.24
2021/07/01 13:00:00,523.18,223.1,231.52,1382.64,827.27,7965.8,14950.98,141.71
2021/07/01 14:00:00,544.7,168.0,175.55,1116.44,692.03,6529.6,13108.62,150.57
2021/07/01 15:00:00,258.18,197.49,217.14,709.92,405.4,4262.8,9463.95,111.05
2021/07/01 16:00:00,59.62,51.38,55.99,252.48,161.34,1442.6,4965.8,41.41
2021/07/01 17:00:00,70.0,2.74,3.09,20.34,12.69,91.8,1165.0,3.0
2021/07/01 18:00:00,7.94,0.0,0.0,0.0,0.0,0.0,202.88,0.0
2021/07/01 19:00:00,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/02 05:00:00,8.14,0.0,0.0,0.0,0.0,0.0,112.05,0.0
2021/07/02 06:00:00,65.18,0.0,0.0,2.66,0.94,14.0,1522.56,3.66
2021/07/02 07:00:00,172.22,12.06,12.95,174.8,59.54,951.8,4275.02,159.2
2021/07/02 08:00:00,266.42,106.1,112.41,631.04,352.68,3661.2,5986.36,534.48
2021/07/02 09:00:00,392.94,113.7,123.22,1047.42,600.53,6157.8,6156.39,444.76
2021/07/02 10:00:00,384.06,201.9,217.14,1346.06,770.65,7754.8,7100.95,1129.75
2021/07/02 11:00:00,402.74,283.09,305.11,1484.28,863.95,8574.0,9396.72,983.52
2021/07/02 12:00:00,606.74,323.68,349.42,1498.7,887.07,8541.6,7819.43,483.68
2021/07/02 13:00:00,311.12,429.28,458.53,1361.28,837.23,7776.6,7091.53,1180.95
2021/07/02 14:00:00,84.42,268.53,286.99,1103.2,705.57,6465.2,5671.86,533.3
2021/07/02 15:00:00,165.68,101.44,109.24,708.1,414.71,4263.6,4633.11,378.6
2021/07/02 16:00:00,101.2,19.11,21.6,260.56,162.68,1466.2,3008.57,132.23
2021/07/02 17:00:00,42.42,0.57,0.88,23.22,13.26,96.8,797.53,11.11
2021/07/02 18:00:00,4.92,0.0,0.0,0.0,0.0,0.0,410.97,0.0
2021/07/02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/03 05:00:00,2.88,0.0,0.0,0.0,0.0,0.0,126.28,0.0
2021/07/03 06:00:00,62.08,0.2,0.41,2.34,1.62,12.4,1564.06,0.09
2021/07/03 07:00:00,138.38,77.8,89.7,170.58,65.67,933.2,4160.7,28.94
2021/07/03 08:00:00,174.72,385.75,419.02,600.22,324.87,3448.8,4317.27,76.17
2021/07/03 09:00:00,352.66,428.65,474.02,1003.36,577.65,5908.6,8729.25,143.02
2021/07/03 10:00:00,566.14,712.29,786.34,1306.14,752.99,7539.2,12032.22,158.98
2021/07/03 11:00:00,582.84,686.38,675.74,1445.5,853.35,8351.8,7154.23,173.61
2021/07/03 12:00:00,579.76,333.19,355.28,1469.26,876.36,8435.0,6847.85,154.98
2021/07/03 13:00:00,422.18,125.19,134.59,1333.26,823.16,7818.4,11001.91,94.08
2021/07/03 14:00:00,431.56,50.55,54.91,1089.78,688.78,6407.8,12435.39,89.39
2021/07/03 15:00:00,229.88,30.6,35.07,698.18,406.7,4185.8,9072.18,41.01
2021/07/03 16:00:00,174.22,10.53,12.93,265.76,159.84,1465.8,5303.09,11.32
2021/07/03 17:00:00,75.06,0.82,1.62,26.74,13.61,110.6,1583.88,0.55
2021/07/03 18:00:00,17.36,0.0,0.0,0.0,0.0,0.0,355.04,0.0
2021/07/03 19:00:00,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/04 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/04 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/04 05:00:00,9.14,0.0,0.0,0.0,0.0,0.0,168.67,0.0
2021/07/04 06:00:00,97.28,0.93,1.19,1.58,0.87,11.4,2071.15,0.3
2021/07/04 07:00:00,226.32,98.17,110.4,151.22,50.72,858.2,5720.63,54.66
2021/07/04 08:00:00,259.78,368.54,410.23,606.46,279.81,3563.2,7187.59,64.62
2021/07/04 09:00:00,550.98,294.95,321.47,1015.24,570.35,5870.2,7491.91,402.2
2021/07/04 10:00:00,550.96,754.28,808.66,1301.3,744.17,7479.0,4718.56,501.13
2021/07/04 11:00:00,521.02,715.99,770.0,1455.56,832.46,8234.8,9377.68,520.97
2021/07/04 12:00:00,596.46,265.29,289.03,1463.36,858.07,8162.8,15883.13,664.79
2021/07/04 13:00:00,669.6,304.91,321.63,1322.54,802.22,7470.0,14590.58,403.31
2021/07/04 14:00:00,617.08,275.79,302.6,1041.46,663.59,6191.2,12766.76,86.58
2021/07/04 15:00:00,451.48,182.73,196.0,676.72,395.56,4099.2,6876.44,127.96
2021/07/04 16:00:00,243.1,31.15,35.08,257.5,150.69,1422.0,3460.37,61.71
2021/07/04 17:00:00,58.02,1.63,2.31,24.06,13.08,99.2,1630.88,3.21
2021/07/04 18:00:00,11.34,0.0,0.0,0.0,0.0,0.0,271.74,0.0
2021/07/04 19:00:00,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021/07/04 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
