時間,用戶1,用戶2,用戶3,用戶4,用戶5,用戶6,用戶7,用戶8
2021-07-12 00:00:00,35.4,12.0,101.0,751.4,895.2,362.6,596.4,44.4
2021-07-12 01:00:00,35.0,11.8,99.8,748.8,893.8,362.6,596.0,44.2
2021-07-12 02:00:00,34.4,12.0,100.4,744.8,892.8,361.6,595.6,44.0
2021-07-12 03:00:00,34.2,11.6,99.8,741.6,893.4,361.4,594.6,44.2
2021-07-12 04:00:00,34.8,11.8,100.0,739.4,893.8,361.2,593.2,44.6
2021-07-12 05:00:00,35.8,12.2,108.4,737.0,893.0,359.4,592.6,52.8
2021-07-12 06:00:00,47.2,16.4,154.0,737.4,895.0,358.6,592.0,156.4
2021-07-12 07:00:00,101.8,113.2,310.4,739.4,897.2,362.8,598.8,251.6
2021-07-12 08:00:00,150.4,151.6,381.0,745.2,898.2,365.2,608.6,286.8
2021-07-12 09:00:00,161.6,177.4,376.2,753.0,899.4,366.4,610.2,287.8
2021-07-12 10:00:00,168.2,177.6,371.8,757.6,900.8,367.8,612.4,283.8
2021-07-12 11:00:00,173.4,182.2,375.8,758.2,901.2,369.4,615.0,281.2
2021-07-12 12:00:00,159.6,178.6,371.6,757.0,901.2,368.4,618.2,272.8
2021-07-12 13:00:00,163.8,185.2,379.6,756.4,902.4,368.6,616.2,272.6
2021-07-12 14:00:00,162.0,188.4,373.4,763.8,902.4,367.6,616.2,268.0
2021-07-12 15:00:00,161.4,181.4,369.6,764.8,903.8,368.2,615.4,265.2
2021-07-12 16:00:00,158.2,158.6,364.8,764.0,904.6,368.6,614.2,256.8
2021-07-12 17:00:00,154.6,99.6,354.4,762.6,904.0,367.8,615.6,186.2
2021-07-12 18:00:00,137.2,42.8,229.4,758.0,902.4,366.8,611.6,114.6
2021-07-12 19:00:00,122.6,36.8,184.0,754.0,901.8,366.4,607.6,70.0
2021-07-12 20:00:00,104.6,14.0,163.0,752.4,898.4,364.4,602.0,56.8
2021-07-12 21:00:00,81.8,12.6,143.4,754.8,897.8,364.0,600.2,50.2
2021-07-12 22:00:00,61.2,12.8,123.4,753.0,897.6,364.2,598.6,47.6
2021-07-12 23:00:00,45.4,12.2,108.8,751.4,896.4,363.4,597.4,45.8
2021-07-13 00:00:00,33.2,12.0,101.0,751.4,895.2,362.6,596.4,44.4
2021-07-13 01:00:00,32.8,11.8,99.8,748.8,893.8,362.6,596.0,44.2
2021-07-13 02:00:00,33.0,12.0,100.4,744.8,892.8,361.6,595.6,44.0
2021-07-13 03:00:00,32.8,11.6,99.8,741.6,893.4,361.4,594.6,44.2
2021-07-13 04:00:00,32.8,11.8,100.0,739.4,893.8,361.2,593.2,44.6
2021-07-13 05:00:00,33.4,12.2,108.4,737.0,893.0,359.4,592.6,52.8
2021-07-13 06:00:00,40.2,16.4,154.0,737.4,895.0,358.6,592.0,156.4
