時間,用戶1,用戶2,用戶3,用戶4,用戶5,用戶6,用戶7,用戶8
2021/01/01 00:00:00,154,53,436,4014,4276,1628,2557,204
2021/01/01 01:00:00,152,51,430,3997,4270,1627,2553,203
2021/01/01 02:00:00,152,52,433,3974,4268,1627,2557,202
2021/01/01 03:00:00,152,51,432,3961,4276,1628,2570,201
2021/01/01 04:00:00,152,51,433,3952,4277,1625,2572,201
2021/01/01 05:00:00,154,51,444,3944,4274,1615,2571,203
2021/01/01 06:00:00,152,50,454,3943,4283,1610,2576,209
2021/01/01 07:00:00,153,53,536,3954,4291,1625,2589,211
2021/01/01 08:00:00,156,55,585,3976,4288,1630,2616,227
2021/01/01 09:00:00,160,57,567,4015,4292,1628,2607,241
2021/01/01 10:00:00,161,59,579,4031,4299,1632,2613,244
2021/01/01 11:00:00,162,59,611,4034,4303,1633,2618,241
2021/01/01 12:00:00,163,60,627,4037,4300,1630,2631,240
2021/01/01 13:00:00,164,60,606,4044,4304,1633,2620,239
2021/01/01 14:00:00,167,60,645,4054,4298,1631,2607,241
2021/01/01 15:00:00,165,60,604,4067,4302,1635,2610,240
2021/01/01 16:00:00,164,59,594,4070,4306,1635,2604,233
2021/01/01 17:00:00,163,56,632,4062,4304,1636,2609,227
2021/01/01 18:00:00,160,54,578,4030,4299,1637,2614,223
2021/01/01 19:00:00,163,53,555,4023,4299,1641,2610,219
2021/01/01 20:00:00,161,53,539,4030,4285,1632,2585,212
2021/01/01 21:00:00,155,53,532,4047,4283,1629,2582,211
2021/01/01 22:00:00,154,53,480,4037,4282,1630,2585,208
2021/01/01 23:00:00,153,52,469,4029,4279,1629,2581,206
2021/01/02 00:00:00,204,53,436,4014,4276,1628,2557,204
2021/01/02 01:00:00,203,51,430,3997,4270,1627,2553,203
2021/01/02 02:00:00,202,52,433,3974,4268,1627,2557,202
2021/01/02 03:00:00,201,51,432,3961,4276,1628,2570,201
2021/01/02 04:00:00,201,51,433,3952,4277,1625,2572,201
2021/01/02 05:00:00,203,51,444,3944,4274,1615,2571,203
2021/01/02 06:00:00,209,50,454,3943,4283,1610,2576,209
2021/01/02 07:00:00,211,53,536,3954,4291,1625,2589,211
2021/01/02 08:00:00,227,55,585,3976,4288,1630,2616,227
2021/01/02 09:00:00,241,57,567,4015,4292,1628,2607,241
2021/01/02 10:00:00,244,59,579,4031,4299,1632,2613,244
2021/01/02 11:00:00,241,59,611,4034,4303,1633,2618,241
2021/01/02 12:00:00,240,60,627,4037,4300,1630,2631,240
2021/01/02 13:00:00,239,60,606,4044,4304,1633,2620,239
2021/01/02 14:00:00,241,60,645,4054,4298,1631,2607,241
2021/01/02 15:00:00,240,60,604,4067,4302,1635,2610,240
2021/01/02 16:00:00,233,59,594,4070,4306,1635,2604,233
2021/01/02 17:00:00,227,56,632,4062,4304,1636,2609,227
2021/01/02 18:00:00,223,54,578,4030,4299,1637,2614,223
2021/01/02 19:00:00,219,53,555,4023,4299,1641,2610,219
2021/01/02 20:00:00,212,53,539,4030,4285,1632,2585,212
2021/01/02 21:00:00,211,53,532,4047,4283,1629,2582,211
2021/01/02 22:00:00,208,53,480,4037,4282,1630,2585,208
2021/01/02 23:00:00,206,52,469,4029,4279,1629,2581,206
2021/01/03 00:00:00,204,53,436,4014,4276,1628,2557,204
2021/01/03 01:00:00,203,51,430,3997,4270,1627,2553,203
2021/01/03 02:00:00,202,52,433,3974,4268,1627,2557,202
2021/01/03 03:00:00,201,51,432,3961,4276,1628,2570,201
2021/01/03 04:00:00,201,51,433,3952,4277,1625,2572,201
2021/01/03 05:00:00,203,51,444,3944,4274,1615,2571,203
2021/01/03 06:00:00,209,50,454,3943,4283,1610,2576,209
2021/01/03 07:00:00,211,53,536,3954,4291,1625,2589,211
2021/01/03 08:00:00,227,55,585,3976,4288,1630,2616,227
2021/01/03 09:00:00,241,57,567,4015,4292,1628,2607,241
2021/01/03 10:00:00,244,59,579,4031,4299,1632,2613,244
2021/01/03 11:00:00,241,59,611,4034,4303,1633,2618,241
2021/01/03 12:00:00,240,60,627,4037,4300,1630,2631,240
2021/01/03 13:00:00,239,60,606,4044,4304,1633,2620,239
2021/01/03 14:00:00,241,60,645,4054,4298,1631,2607,241
2021/01/03 15:00:00,240,60,604,4067,4302,1635,2610,240
2021/01/03 16:00:00,233,59,594,4070,4306,1635,2604,233
2021/01/03 17:00:00,227,56,632,4062,4304,1636,2609,227
2021/01/03 18:00:00,223,54,578,4030,4299,1637,2614,223
2021/01/03 19:00:00,219,53,555,4023,4299,1641,2610,219
2021/01/03 20:00:00,212,53,539,4030,4285,1632,2585,212
2021/01/03 21:00:00,211,53,532,4047,4283,1629,2582,211
2021/01/03 22:00:00,208,53,480,4037,4282,1630,2585,208
2021/01/03 23:00:00,206,52,469,4029,4279,1629,2581,206
2021/01/04 00:00:00,193,58,400,4014,4276,1628,2557,193
2021/01/04 01:00:00,191,55,393,3997,4270,1627,2553,191
2021/01/04 02:00:00,189,56,394,3974,4268,1627,2557,189
2021/01/04 03:00:00,189,54,392,3961,4276,1628,2570,189
2021/01/04 04:00:00,189,54,393,3952,4277,1625,2572,189
2021/01/04 05:00:00,199,56,453,3944,4274,1615,2571,199
2021/01/04 06:00:00,380,72,562,3943,4283,1610,2576,380
2021/01/04 07:00:00,607,358,1036,3954,4291,1625,2589,607
2021/01/04 08:00:00,865,461,1438,3976,4288,1630,2616,865
2021/01/04 09:00:00,908,545,1475,4015,4292,1628,2607,908
2021/01/04 10:00:00,896,546,1468,4031,4299,1632,2613,896
2021/01/04 11:00:00,895,553,1478,4034,4303,1633,2618,895
2021/01/04 12:00:00,857,514,1434,4037,4300,1630,2631,857
2021/01/04 13:00:00,892,565,1488,4044,4304,1633,2620,892
2021/01/04 14:00:00,885,572,1461,4054,4298,1631,2607,885
2021/01/04 15:00:00,879,547,1455,4067,4302,1635,2610,879
2021/01/04 16:00:00,861,457,1431,4070,4306,1635,2604,861
2021/01/04 17:00:00,742,138,1408,4062,4304,1636,2609,742
2021/01/04 18:00:00,461,123,1066,4030,4299,1637,2614,461
2021/01/04 19:00:00,306,107,836,4023,4299,1641,2610,306
2021/01/04 20:00:00,244,63,720,4030,4285,1632,2585,244
2021/01/04 21:00:00,220,59,615,4047,4283,1629,2582,220
2021/01/04 22:00:00,208,59,508,4037,4282,1630,2585,208
2021/01/04 23:00:00,200,57,435,4029,4279,1629,2581,200
2021/01/05 00:00:00,193,58,400,4014,4276,1628,2557,193
2021/01/05 01:00:00,191,55,393,3997,4270,1627,2553,191
2021/01/05 02:00:00,189,56,394,3974,4268,1627,2557,189
2021/01/05 03:00:00,189,54,392,3961,4276,1628,2570,189
2021/01/05 04:00:00,189,54,393,3952,4277,1625,2572,189
2021/01/05 05:00:00,199,56,453,3944,4274,1615,2571,199
2021/01/05 06:00:00,380,72,562,3943,4283,1610,2576,380
2021/01/05 07:00:00,607,358,1036,3954,4291,1625,2589,607
2021/01/05 08:00:00,865,461,1438,3976,4288,1630,2616,865
2021/01/05 09:00:00,908,545,1475,4015,4292,1628,2607,908
2021/01/05 10:00:00,896,546,1468,4031,4299,1632,2613,896
2021/01/05 11:00:00,895,553,1478,4034,4303,1633,2618,895
2021/01/05 12:00:00,857,514,1434,4037,4300,1630,2631,857
2021/01/05 13:00:00,892,565,1488,4044,4304,1633,2620,892
2021/01/05 14:00:00,885,572,1461,4054,4298,1631,2607,885
2021/01/05 15:00:00,879,547,1455,4067,4302,1635,2610,879
2021/01/05 16:00:00,861,457,1431,4070,4306,1635,2604,861
2021/01/05 17:00:00,742,138,1408,4062,4304,1636,2609,742
2021/01/05 18:00:00,461,123,1066,4030,4299,1637,2614,461
2021/01/05 19:00:00,306,107,836,4023,4299,1641,2610,306
2021/01/05 20:00:00,244,63,720,4030,4285,1632,2585,244
2021/01/05 21:00:00,220,59,615,4047,4283,1629,2582,220
2021/01/05 22:00:00,208,59,508,4037,4282,1630,2585,208
2021/01/05 23:00:00,200,57,435,4029,4279,1629,2581,200
2021/01/06 00:00:00,193,58,400,4014,4476,1628,2557,193
2021/01/06 01:00:00,191,55,393,3997,4469,1627,2553,191
2021/01/06 02:00:00,189,56,394,3974,4464,1627,2557,189
2021/01/06 03:00:00,189,54,392,3961,4467,1628,2570,189
2021/01/06 04:00:00,189,54,393,3952,4469,1625,2572,189
2021/01/06 05:00:00,199,56,453,3944,4465,1615,2571,199
2021/01/06 06:00:00,380,72,562,3943,4475,1610,2576,380
2021/01/06 07:00:00,607,358,1036,3954,4486,1625,2589,607
2021/01/06 08:00:00,865,461,1438,3976,4491,1630,2616,865
2021/01/06 09:00:00,908,545,1475,4015,4497,1628,2607,908
2021/01/06 10:00:00,896,546,1468,4031,4504,1632,2613,896
2021/01/06 11:00:00,895,553,1478,4034,4506,1633,2618,895
2021/01/06 12:00:00,857,514,1434,4037,4506,1630,2631,857
2021/01/06 13:00:00,892,565,1488,4044,4512,1633,2620,892
2021/01/06 14:00:00,885,572,1461,4054,4512,1631,2607,885
2021/01/06 15:00:00,879,547,1455,4067,4519,1635,2610,879
2021/01/06 16:00:00,861,457,1431,4070,4523,1635,2604,861
2021/01/06 17:00:00,742,138,1408,4062,4520,1636,2609,742
2021/01/06 18:00:00,461,123,1066,4030,4512,1637,2614,461
2021/01/06 19:00:00,306,107,836,4023,4509,1641,2610,306
2021/01/06 20:00:00,244,63,720,4030,4492,1632,2585,244
2021/01/06 21:00:00,220,59,615,4047,4489,1629,2582,220
2021/01/06 22:00:00,208,59,508,4037,4488,1630,2585,208
2021/01/06 23:00:00,200,57,435,4029,4482,1629,2581,200
2021/01/07 00:00:00,193,58,400,4014,4476,1628,2557,193
2021/01/07 01:00:00,191,55,393,3997,4469,1627,2553,191
2021/01/07 02:00:00,189,56,394,3974,4464,1627,2557,189
2021/01/07 03:00:00,189,54,392,3961,4467,1628,2570,189
2021/01/07 04:00:00,189,54,393,3952,4469,1625,2572,189
2021/01/07 05:00:00,199,56,453,3944,4465,1615,2571,199
2021/01/07 06:00:00,380,72,562,3943,4475,1610,2576,380
2021/01/07 07:00:00,607,358,1036,3954,4486,1625,2589,607
2021/01/07 08:00:00,865,461,1438,3976,4491,1630,2616,865
2021/01/07 09:00:00,908,545,1475,4015,4497,1628,2607,908
2021/01/07 10:00:00,896,546,1468,4031,4504,1632,2613,896
2021/01/07 11:00:00,895,553,1478,4034,4506,1633,2618,895
2021/01/07 12:00:00,857,514,1434,4037,4506,1630,2631,857
2021/01/07 13:00:00,892,565,1488,4044,4512,1633,2620,892
2021/01/07 14:00:00,885,572,1461,4054,4512,1631,2607,885
2021/01/07 15:00:00,879,547,1455,4067,4519,1635,2610,879
2021/01/07 16:00:00,861,457,1431,4070,4523,1635,2604,861
2021/01/07 17:00:00,742,138,1408,4062,4520,1636,2609,742
2021/01/07 18:00:00,461,123,1066,4030,4512,1637,2614,461
2021/01/07 19:00:00,306,107,836,4023,4509,1641,2610,306
2021/01/07 20:00:00,244,63,720,4030,4492,1632,2585,244
2021/01/07 21:00:00,220,59,615,4047,4489,1629,2582,220
2021/01/07 22:00:00,208,59,508,4037,4488,1630,2585,208
2021/01/07 23:00:00,200,57,435,4029,4482,1629,2581,200
2021/01/08 00:00:00,193,58,400,4014,4476,1628,2557,193
2021/01/08 01:00:00,191,55,393,3997,4469,1627,2553,191
2021/01/08 02:00:00,189,56,394,3974,4464,1627,2557,189
2021/01/08 03:00:00,189,54,392,3961,4467,1628,2570,189
2021/01/08 04:00:00,189,54,393,3952,4469,1625,2572,189
2021/01/08 05:00:00,199,56,453,3944,4465,1615,2571,199
2021/01/08 06:00:00,380,72,562,3943,4475,1610,2576,380
2021/01/08 07:00:00,607,358,1036,3954,4486,1625,2589,607
2021/01/08 08:00:00,865,461,1438,3976,4491,1630,2616,865
2021/01/08 09:00:00,908,545,1475,4015,4497,1628,2607,908
2021/01/08 10:00:00,896,546,1468,4031,4504,1632,2613,896
2021/01/08 11:00:00,895,553,1478,4034,4506,1633,2618,895
2021/01/08 12:00:00,857,514,1434,4037,4506,1630,2631,857
2021/01/08 13:00:00,892,565,1488,4044,4512,1633,2620,892
2021/01/08 14:00:00,885,572,1461,4054,4512,1631,2607,885
2021/01/08 15:00:00,879,547,1455,4067,4519,1635,2610,879
2021/01/08 16:00:00,861,457,1431,4070,4523,1635,2604,861
2021/01/08 17:00:00,742,138,1408,4062,4520,1636,2609,742
2021/01/08 18:00:00,461,123,1066,4030,4512,1637,2614,461
2021/01/08 19:00:00,306,107,836,4023,4509,1641,2610,306
2021/01/08 20:00:00,244,63,720,4030,4492,1632,2585,244
2021/01/08 21:00:00,220,59,615,4047,4489,1629,2582,220
2021/01/08 22:00:00,208,59,508,4037,4488,1630,2585,208
2021/01/08 23:00:00,200,57,435,4029,4482,1629,2581,200
2021/01/09 00:00:00,204,53,436,4014,4476,1628,2557,204
2021/01/09 01:00:00,203,51,430,3997,4469,1627,2553,203
2021/01/09 02:00:00,202,52,433,3974,4464,1627,2557,202
2021/01/09 03:00:00,201,51,432,3961,4467,1628,2570,201
2021/01/09 04:00:00,201,51,433,3952,4469,1625,2572,201
2021/01/09 05:00:00,203,51,444,3944,4465,1615,2571,203
2021/01/09 06:00:00,209,50,454,3943,4475,1610,2576,209
2021/01/09 07:00:00,211,53,536,3954,4486,1625,2589,211
2021/01/09 08:00:00,227,55,585,3976,4491,1630,2616,227
2021/01/09 09:00:00,241,57,567,4015,4497,1628,2607,241
2021/01/09 10:00:00,244,59,579,4031,4504,1632,2613,244
2021/01/09 11:00:00,241,59,611,4034,4506,1633,2618,241
2021/01/09 12:00:00,240,60,627,4037,4506,1630,2631,240
2021/01/09 13:00:00,239,60,606,4044,4512,1633,2620,239
2021/01/09 14:00:00,241,60,645,4054,4512,1631,2607,241
2021/01/09 15:00:00,240,60,604,4067,4519,1635,2610,240
2021/01/09 16:00:00,233,59,594,4070,4523,1635,2604,233
2021/01/09 17:00:00,227,56,632,4062,4520,1636,2609,227
2021/01/09 18:00:00,223,54,578,4030,4512,1637,2614,223
2021/01/09 19:00:00,219,53,555,4023,4509,1641,2610,219
2021/01/09 20:00:00,212,53,539,4030,4492,1632,2585,212
2021/01/09 21:00:00,211,53,532,4047,4489,1629,2582,211
2021/01/09 22:00:00,208,53,480,4037,4488,1630,2585,208
2021/01/09 23:00:00,206,52,469,4029,4482,1629,2581,206
2021/01/10 00:00:00,204,53,436,4014,4476,1628,2557,204
