時間,電廠1,電廠4
2021/1/1 00:00:00,0,0
2021/1/1 01:00:00,0,0
2021/1/1 02:00:00,0,0
2021/1/1 03:00:00,0,0
2021/1/1 04:00:00,0,0
2021/1/1 05:00:00,0,0
2021/1/1 06:00:00,0.82,0.72
2021/1/1 07:00:00,20,51.67
2021/1/1 08:00:00,92.84,180.61
2021/1/1 09:00:00,172.24,426.68
2021/1/1 10:00:00,207.42,724.11
2021/1/1 11:00:00,296.89,719.59
2021/1/1 12:00:00,300.27,655.77
2021/1/1 13:00:00,276.41,691.32
2021/1/1 14:00:00,225.37,558.22
2021/1/1 15:00:00,140.39,354.96
2021/1/1 16:00:00,54.03,126.24
2021/1/1 17:00:00,4.51,10.17
2021/1/1 18:00:00,0,0
2021/1/1 19:00:00,0,0
2021/1/1 20:00:00,0,0
2021/1/1 21:00:00,0,0
2021/1/1 22:00:00,0,0
2021/1/1 23:00:00,0,0
2021/1/2 00:00:00,0,0
2021/1/2 01:00:00,0,0
2021/1/2 02:00:00,0,0
2021/1/2 03:00:00,0,0
2021/1/2 04:00:00,0,0
2021/1/2 05:00:00,0,0
2021/1/2 06:00:00,0.52,1.33
2021/1/2 07:00:00,34.49,87.4
2021/1/2 08:00:00,115.31,315.52
2021/1/2 09:00:00,203.33,523.71
2021/1/2 10:00:00,263.43,673.03
2021/1/2 11:00:00,291.86,742.14
2021/1/2 12:00:00,292.66,749.35
2021/1/2 13:00:00,269.3,680.64
2021/1/2 14:00:00,217.71,551.6
2021/1/2 15:00:00,134.28,354.05
2021/1/2 16:00:00,52.5,130.28
2021/1/2 17:00:00,4.65,11.61
2021/1/2 18:00:00,0,0
2021/1/2 19:00:00,0,0
2021/1/2 20:00:00,0,0
2021/1/2 21:00:00,0,0
2021/1/2 22:00:00,0,0
2021/1/2 23:00:00,0,0
2021/1/3 00:00:00,0,0
2021/1/3 01:00:00,0,0
2021/1/3 02:00:00,0,0
2021/1/3 03:00:00,0,0
2021/1/3 04:00:00,0,0
2021/1/3 05:00:00,0,0
2021/1/3 06:00:00,0.41,1.17
2021/1/3 07:00:00,34.85,85.29
2021/1/3 08:00:00,115.45,300.11
2021/1/3 09:00:00,198.44,501.68
2021/1/3 10:00:00,257.56,653.07
2021/1/3 11:00:00,288.21,722.75
2021/1/3 12:00:00,290.75,734.63
2021/1/3 13:00:00,267.69,666.63
2021/1/3 14:00:00,218.5,544.89
2021/1/3 15:00:00,137.91,349.09
2021/1/3 16:00:00,53.41,132.88
2021/1/3 17:00:00,4.95,13.37
2021/1/3 18:00:00,0,0
2021/1/3 19:00:00,0,0
2021/1/3 20:00:00,0,0
2021/1/3 21:00:00,0,0
2021/1/3 22:00:00,0,0
2021/1/3 23:00:00,0,0
2021/1/4 00:00:00,0,0
2021/1/4 01:00:00,0,0
2021/1/4 02:00:00,0,0
2021/1/4 03:00:00,0,0
2021/1/4 04:00:00,0,0
2021/1/4 05:00:00,0,0
2021/1/4 06:00:00,0.15,0.79
2021/1/4 07:00:00,30.88,75.61
2021/1/4 08:00:00,105.76,303.23
2021/1/4 09:00:00,192.54,507.62
2021/1/4 10:00:00,251.35,650.65
2021/1/4 11:00:00,277.45,727.78
2021/1/4 12:00:00,278.97,731.68
2021/1/4 13:00:00,258.77,661.27
2021/1/4 14:00:00,210.78,520.73
2021/1/4 15:00:00,109.17,338.36
2021/1/4 16:00:00,50.68,128.75
2021/1/4 17:00:00,4.29,12.03
2021/1/4 18:00:00,0,0
2021/1/4 19:00:00,0,0
2021/1/4 20:00:00,0,0
2021/1/4 21:00:00,0,0
2021/1/4 22:00:00,0,0
2021/1/4 23:00:00,0,0
2021/1/5 00:00:00,0,0
2021/1/5 01:00:00,0,0
2021/1/5 02:00:00,0,0
2021/1/5 03:00:00,0,0
2021/1/5 04:00:00,0,0
2021/1/5 05:00:00,0,0
2021/1/5 06:00:00,0.02,0.29
2021/1/5 07:00:00,16.55,46.02
2021/1/5 08:00:00,53.95,116.1
2021/1/5 09:00:00,68.39,145.72
2021/1/5 10:00:00,81.65,243.96
2021/1/5 11:00:00,180.88,277.14
2021/1/5 12:00:00,167.32,409.98
2021/1/5 13:00:00,94.38,456.56
2021/1/5 14:00:00,117.5,189.48
2021/1/5 15:00:00,85.62,179.46
2021/1/5 16:00:00,44.07,94.31
2021/1/5 17:00:00,3.51,7.73
2021/1/5 18:00:00,0,0
2021/1/5 19:00:00,0,0
2021/1/5 20:00:00,0,0
2021/1/5 21:00:00,0,0
2021/1/5 22:00:00,0,0
2021/1/5 23:00:00,0,0
2021/1/6 00:00:00,0,0
2021/1/6 01:00:00,0,0
2021/1/6 02:00:00,0,0
2021/1/6 03:00:00,0,0
2021/1/6 04:00:00,0,0
2021/1/6 05:00:00,0,0
2021/1/6 06:00:00,0,0.48
2021/1/6 07:00:00,27.58,77.92
2021/1/6 08:00:00,96.9,278.38
2021/1/6 09:00:00,173.85,380.69
2021/1/6 10:00:00,204.43,379.79
2021/1/6 11:00:00,226.42,480.93
2021/1/6 12:00:00,191.79,501.07
2021/1/6 13:00:00,105.71,333.02
2021/1/6 14:00:00,80.13,166.54
2021/1/6 15:00:00,64.48,97.7
2021/1/6 16:00:00,25.31,36.85
2021/1/6 17:00:00,1.3,3.14
2021/1/6 18:00:00,0,0
2021/1/6 19:00:00,0,0
2021/1/6 20:00:00,0,0
2021/1/6 21:00:00,0,0
2021/1/6 22:00:00,0,0
2021/1/6 23:00:00,0,0
2021/1/7 00:00:00,0,0
2021/1/7 01:00:00,0,0
2021/1/7 02:00:00,0,0
2021/1/7 03:00:00,0,0
2021/1/7 04:00:00,0,0
2021/1/7 05:00:00,0,0
2021/1/7 06:00:00,0,0.04
2021/1/7 07:00:00,8.83,77.86
2021/1/7 08:00:00,72.6,130.66
2021/1/7 09:00:00,97.37,401.68
2021/1/7 10:00:00,161.07,291.04
2021/1/7 11:00:00,131.56,455.2
2021/1/7 12:00:00,138.71,410.13
2021/1/7 13:00:00,182.93,249.41
2021/1/7 14:00:00,154.46,230.75
2021/1/7 15:00:00,120.56,182.18
2021/1/7 16:00:00,33.44,55.53
2021/1/7 17:00:00,1.68,4.41
2021/1/7 18:00:00,0,0
2021/1/7 19:00:00,0,0
2021/1/7 20:00:00,0,0
2021/1/7 21:00:00,0,0
2021/1/7 22:00:00,0,0
2021/1/7 23:00:00,0,0
2021/1/8 00:00:00,0,0
