時間,電廠1,電廠2,電廠3,電廠4,電廠5
2021/01/01 00:00:00,0,0,0,0,0
2021/01/01 01:00:00,0,0,0,0,0
2021/01/01 02:00:00,0,0,0,0,0
2021/01/01 03:00:00,0,0,0,0,0
2021/01/01 04:00:00,0,0,0,0,0
2021/01/01 05:00:00,0,0,0,0,0
2021/01/01 06:00:00,0.82,1.82,2.05,0.72,1.5
2021/01/01 07:00:00,20,74.59,81.02,51.67,48.57
2021/01/01 08:00:00,92.84,200.14,216.39,180.61,214.5
2021/01/01 09:00:00,172.24,318.12,344.64,426.68,589.95
2021/01/01 10:00:00,207.42,710.66,769.01,724.11,773.52
2021/01/01 11:00:00,296.89,699.65,699.34,719.59,855.76
2021/01/01 12:00:00,300.27,310.43,326.06,655.77,888.91
2021/01/01 13:00:00,276.41,223.1,231.52,691.32,827.27
2021/01/01 14:00:00,225.37,168,175.55,558.22,692.03
2021/01/01 15:00:00,140.39,197.49,217.14,354.96,405.4
2021/01/01 16:00:00,54.03,51.38,55.99,126.24,161.34
2021/01/01 17:00:00,4.51,2.74,3.09,10.17,12.69
2021/01/01 18:00:00,0,0,0,0,0
2021/01/01 19:00:00,0,0,0,0,0
2021/01/01 20:00:00,0,0,0,0,0
2021/01/01 21:00:00,0,0,0,0,0
2021/01/01 22:00:00,0,0,0,0,0
2021/01/01 23:00:00,0,0,0,0,0
2021/01/02 00:00:00,0,0,0,0,0
2021/01/02 01:00:00,0,0,0,0,0
2021/01/02 02:00:00,0,0,0,0,0
2021/01/02 03:00:00,0,0,0,0,0
2021/01/02 04:00:00,0,0,0,0,0
2021/01/02 05:00:00,0,0,0,0,0
2021/01/02 06:00:00,0.52,0,0,1.33,0.94
2021/01/02 07:00:00,34.49,12.06,12.95,87.4,59.54
2021/01/02 08:00:00,115.31,106.1,112.41,315.52,352.68
2021/01/02 09:00:00,203.33,113.7,123.22,523.71,600.53
2021/01/02 10:00:00,263.43,201.9,217.14,673.03,770.65
2021/01/02 11:00:00,291.86,283.09,305.11,742.14,863.95
2021/01/02 12:00:00,292.66,323.68,349.42,749.35,887.07
2021/01/02 13:00:00,269.3,429.28,458.53,680.64,837.23
2021/01/02 14:00:00,217.71,268.53,286.99,551.6,705.57
2021/01/02 15:00:00,134.28,101.44,109.24,354.05,414.71
2021/01/02 16:00:00,52.5,19.11,21.6,130.28,162.68
2021/01/02 17:00:00,4.65,0.57,0.88,11.61,13.26
2021/01/02 18:00:00,0,0,0,0,0
2021/01/02 19:00:00,0,0,0,0,0
2021/01/02 20:00:00,0,0,0,0,0
2021/01/02 21:00:00,0,0,0,0,0
2021/01/02 22:00:00,0,0,0,0,0
2021/01/02 23:00:00,0,0,0,0,0
2021/01/03 00:00:00,0,0,0,0,0
2021/01/03 01:00:00,0,0,0,0,0
2021/01/03 02:00:00,0,0,0,0,0
2021/01/03 03:00:00,0,0,0,0,0
2021/01/03 04:00:00,0,0,0,0,0
2021/01/03 05:00:00,0,0,0,0,0
2021/01/03 06:00:00,0.41,0.2,0.41,1.17,1.62
