時間,電廠1,電廠2,電廠3,電廠4,電廠5
2021-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-01 06:00:00,4.1,9.1,10.25,3.5999999999999996,7.5
2021-01-01 07:00:00,100.0,372.95000000000005,405.09999999999997,258.35,242.85
2021-01-01 08:00:00,464.20000000000005,1000.6999999999999,1081.9499999999998,903.0500000000001,1072.5
2021-01-01 09:00:00,861.2,1590.6,1723.1999999999998,2133.4,2949.75
2021-01-01 10:00:00,1037.1,3553.2999999999997,3845.05,3620.55,3867.6
2021-01-01 11:00:00,1484.4499999999998,3498.25,3496.7000000000003,3597.9500000000003,4278.8
2021-01-01 12:00:00,1501.35,1552.15,1630.3,3278.85,4444.55
2021-01-01 13:00:00,1382.0500000000002,1115.5,1157.6000000000001,3456.6000000000004,4136.35
2021-01-01 14:00:00,1126.85,840.0,877.75,2791.1000000000004,3460.1499999999996
2021-01-01 15:00:00,701.9499999999999,987.45,1085.6999999999998,1774.8,2027.0
2021-01-01 16:00:00,270.15,256.90000000000003,279.95,631.1999999999999,806.7
2021-01-01 17:00:00,22.549999999999997,13.700000000000001,15.45,50.85,63.449999999999996
2021-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-02 06:00:00,2.6,0.0,0.0,6.65,4.699999999999999
2021-01-02 07:00:00,172.45000000000002,60.300000000000004,64.75,437.0,297.7
2021-01-02 08:00:00,576.55,530.5,562.05,1577.6,1763.4
2021-01-02 09:00:00,1016.6500000000001,568.5,616.1,2618.55,3002.6499999999996
2021-01-02 10:00:00,1317.15,1009.5,1085.6999999999998,3365.1499999999996,3853.25
2021-01-02 11:00:00,1459.3000000000002,1415.4499999999998,1525.5500000000002,3710.7,4319.75
2021-01-02 12:00:00,1463.3000000000002,1618.4,1747.1000000000001,3746.75,4435.35
2021-01-02 13:00:00,1346.5,2146.3999999999996,2292.6499999999996,3403.2,4186.15
2021-01-02 14:00:00,1088.55,1342.6499999999999,1434.95,2758.0,3527.8500000000004
2021-01-02 15:00:00,671.4,507.2,546.1999999999999,1770.25,2073.5499999999997
2021-01-02 16:00:00,262.5,95.55,108.0,651.4,813.4000000000001
2021-01-02 17:00:00,23.25,2.8499999999999996,4.4,58.05,66.3
2021-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-03 06:00:00,2.05,1.0,2.05,5.85,8.100000000000001
2021-01-03 07:00:00,174.25,389.0,448.5,426.45000000000005,328.35
2021-01-03 08:00:00,577.25,1928.75,2095.1,1500.5500000000002,1624.35
2021-01-03 09:00:00,992.2,2143.25,2370.1,2508.4,2888.25
2021-01-03 10:00:00,1287.8,3561.45,3931.7000000000003,3265.3500000000004,3764.95
2021-01-03 11:00:00,1441.05,3431.9,3378.7,3613.75,4266.75
2021-01-03 12:00:00,1453.75,1665.95,1776.3999999999999,3673.15,4381.8
2021-01-03 13:00:00,1338.45,625.95,672.95,3333.15,4115.8
2021-01-03 14:00:00,1092.5,252.75,274.54999999999995,2724.45,3443.8999999999996
2021-01-03 15:00:00,689.55,153.0,175.35,1745.4499999999998,2033.5
2021-01-03 16:00:00,267.04999999999995,52.65,64.65,664.4,799.2
2021-01-03 17:00:00,24.75,4.1,8.100000000000001,66.85,68.05
2021-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-04 03:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-04 05:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-04 06:00:00,0.75,4.65,5.949999999999999,3.95,4.35
2021-01-04 07:00:00,154.4,490.85,552.0,378.05,253.6
2021-01-04 08:00:00,528.8000000000001,1842.7,2051.15,1516.15,1399.05
2021-01-04 09:00:00,962.6999999999999,1474.75,1607.3500000000001,2538.1,2851.75
2021-01-04 10:00:00,1256.75,3771.3999999999996,4043.2999999999997,3253.25,3720.85
2021-01-04 11:00:00,1387.25,3579.95,3850.0,3638.8999999999996,4162.3
2021-01-04 12:00:00,1394.8500000000001,1326.45,1445.1499999999999,3658.3999999999996,4290.35
2021-01-04 13:00:00,1293.85,1524.5500000000002,1608.15,3306.35,4011.1000000000004
2021-01-04 14:00:00,1053.9,1378.95,1513.0,2603.65,3317.9500000000003
2021-01-04 15:00:00,545.85,913.65,980.0,1691.8000000000002,1977.8
2021-01-04 16:00:00,253.4,155.75,175.39999999999998,643.75,753.45
2021-01-04 17:00:00,21.45,8.149999999999999,11.55,60.15,65.4
2021-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-04 19:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-04 23:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-05 01:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-05 02:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-05 03:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-05 04:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-05 05:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-05 06:00:00,0.1,0.0,0.0,1.45,1.5
2021-01-05 07:00:00,82.75,74.55,89.0,230.10000000000002,183.5
2021-01-05 08:00:00,269.75,611.8,669.05,580.5,582.1500000000001
2021-01-05 09:00:00,341.95,1333.25,1438.15,728.6,1011.25
2021-01-05 10:00:00,408.25,1670.35,1798.7,1219.8,1577.7
2021-01-05 11:00:00,904.4,1660.75,1786.6499999999999,1385.6999999999998,1881.3
2021-01-05 12:00:00,836.5999999999999,1841.55,1978.0500000000002,2049.9,2118.0
2021-01-05 13:00:00,471.9,1783.85,1913.3500000000001,2282.8,2047.45
2021-01-05 14:00:00,587.5,1455.1499999999999,1582.7,947.4,1342.6499999999999
2021-01-05 15:00:00,428.1,998.1,1073.4,897.3000000000001,854.8000000000001
2021-01-05 16:00:00,220.35,265.35,288.9,471.55,613.15
2021-01-05 17:00:00,17.549999999999997,20.25,25.9,38.650000000000006,40.949999999999996
2021-01-05 18:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-05 19:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-05 20:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-05 21:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-05 22:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-05 23:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-06 00:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-06 01:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-06 02:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-06 03:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-06 04:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-06 05:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-06 06:00:00,0.0,0.0,0.0,2.4,1.45
2021-01-06 07:00:00,137.89999999999998,0.0,0.0,389.6,417.15000000000003
2021-01-06 08:00:00,484.5,194.5,228.25,1391.9,1289.35
2021-01-06 09:00:00,869.25,408.15,452.45,1903.45,1610.35
2021-01-06 10:00:00,1022.1500000000001,617.0,671.4,1898.95,2117.2999999999997
2021-01-06 11:00:00,1132.1,800.6,863.25,2404.65,2931.1000000000004
2021-01-06 12:00:00,958.9499999999999,666.9499999999999,721.5,2505.35,1295.1
2021-01-06 13:00:00,528.55,587.1500000000001,641.6500000000001,1665.1,1052.6000000000001
2021-01-06 14:00:00,400.65,470.45000000000005,514.7,832.6999999999999,1156.1
2021-01-06 15:00:00,322.40000000000003,402.84999999999997,441.34999999999997,488.5,786.6500000000001
2021-01-06 16:00:00,126.55,123.6,144.95,184.25,186.75
2021-01-06 17:00:00,6.5,4.25,8.8,15.700000000000001,16.299999999999997
2021-01-06 18:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-06 19:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-06 20:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-06 21:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-06 22:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-06 23:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-07 00:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-07 01:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-07 02:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-07 03:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-07 04:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-07 05:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-07 06:00:00,0.0,1.85,2.8499999999999996,0.2,11.15
2021-01-07 07:00:00,44.15,291.4,317.5,389.3,264.85
2021-01-07 08:00:00,363.0,537.95,582.9,653.3,834.95
2021-01-07 09:00:00,486.85,1236.5,1327.9499999999998,2008.4,1614.3000000000002
2021-01-07 10:00:00,805.3499999999999,1329.1999999999998,1446.6499999999999,1455.2,2573.35
2021-01-07 11:00:00,657.8,2177.8,2347.5,2276.0,1772.8999999999999
2021-01-07 12:00:00,693.5500000000001,1791.75,1935.5500000000002,2050.65,1668.25
2021-01-07 13:00:00,914.6500000000001,1981.6999999999998,2104.5,1247.05,2486.15
2021-01-07 14:00:00,772.3000000000001,553.5,594.35,1153.75,1991.3
2021-01-07 15:00:00,602.8,450.4,483.35,910.9000000000001,1244.25
2021-01-07 16:00:00,167.2,92.69999999999999,107.0,277.65,456.3
2021-01-07 17:00:00,8.4,2.4,4.9,22.05,89.2
2021-01-07 18:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-07 19:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-07 20:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-07 21:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-07 22:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-07 23:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-08 00:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-08 01:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-08 02:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-08 03:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-08 04:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-08 05:00:00,0.0,0.0,0.0,0.0,0.0
2021-01-08 06:00:00,1.35,9.8,11.35,3.25,10.549999999999999
