時間,電廠1,電廠2,電廠3,電廠4,電廠5,電廠6,電廠7,電廠8
2021/07/01 00:00:00,0,0,0,0,0,0,0,0
2021/07/01 01:00:00,0,0,0,0,0,0,0,0
2021/07/01 02:00:00,0,0,0,0,0,0,0,0
2021/07/01 03:00:00,0,0,0,0,0,0,0,0
2021/07/01 04:00:00,0,0,0,0,0,0,0,0
2021/07/01 05:00:00,4.39,0,0,0,0,0,171.28,0
2021/07/01 06:00:00,42.35,1.82,2.05,0.72,1.5,6.4,2453.53,0.03
2021/07/01 07:00:00,118.71,74.59,81.02,51.67,48.57,261.2,6773.24,19.76
2021/07/01 08:00:00,164.75,200.14,216.39,180.61,214.5,830.8,8533.52,45.63
2021/07/01 09:00:00,221.33,318.12,344.64,426.68,589.95,2587.3,10077.7,63.98
2021/07/01 10:00:00,186.52,710.66,769.01,724.11,773.52,3837.9,12317.77,153.96
2021/07/01 11:00:00,186.49,699.65,699.34,719.59,855.76,4270.4,10321.19,169.81
2021/07/01 12:00:00,187.44,310.43,326.06,655.77,888.91,4320.7,12208.95,117.24
2021/07/01 13:00:00,261.59,223.1,231.52,691.32,827.27,3982.9,14950.98,141.71
2021/07/01 14:00:00,272.35,168,175.55,558.22,692.03,3264.8,13108.62,150.57
2021/07/01 15:00:00,129.09,197.49,217.14,354.96,405.4,2131.4,9463.95,111.05
2021/07/01 16:00:00,29.81,51.38,55.99,126.24,161.34,721.3,4965.8,41.41
2021/07/01 17:00:00,35,2.74,3.09,10.17,12.69,45.9,1165,3
2021/07/01 18:00:00,3.97,0,0,0,0,0,202.88,0
2021/07/01 19:00:00,0.01,0,0,0,0,0,0,0
2021/07/01 20:00:00,0,0,0,0,0,0,0,0
2021/07/01 21:00:00,0,0,0,0,0,0,0,0
2021/07/01 22:00:00,0,0,0,0,0,0,0,0
2021/07/01 23:00:00,0,0,0,0,0,0,0,0
2021/07/02 00:00:00,0,0,0,0,0,0,0,0
2021/07/02 01:00:00,0,0,0,0,0,0,0,0
2021/07/02 02:00:00,0,0,0,0,0,0,0,0
2021/07/02 03:00:00,0,0,0,0,0,0,0,0
2021/07/02 04:00:00,0,0,0,0,0,0,0,0
2021/07/02 05:00:00,4.07,0,0,0,0,0,112.05,0
2021/07/02 06:00:00,32.59,0,0,1.33,0.94,7,1522.56,3.66
2021/07/02 07:00:00,86.11,12.06,12.95,87.4,59.54,475.9,4275.02,159.2
2021/07/02 08:00:00,133.21,106.1,112.41,315.52,352.68,1830.6,5986.36,534.48
2021/07/02 09:00:00,196.47,113.7,123.22,523.71,600.53,3078.9,6156.39,444.76
2021/07/02 10:00:00,192.03,201.9,217.14,673.03,770.65,3877.4,7100.95,1129.75
2021/07/02 11:00:00,201.37,283.09,305.11,742.14,863.95,4287,9396.72,983.52
2021/07/02 12:00:00,303.37,323.68,349.42,749.35,887.07,4270.8,7819.43,483.68
2021/07/02 13:00:00,155.56,429.28,458.53,680.64,837.23,3888.3,7091.53,1180.95
2021/07/02 14:00:00,42.21,268.53,286.99,551.6,705.57,3232.6,5671.86,533.3
2021/07/02 15:00:00,82.84,101.44,109.24,354.05,414.71,2131.8,4633.11,378.6
2021/07/02 16:00:00,50.6,19.11,21.6,130.28,162.68,733.1,3008.57,132.23
2021/07/02 17:00:00,21.21,0.57,0.88,11.61,13.26,48.4,797.53,11.11
2021/07/02 18:00:00,2.46,0,0,0,0,0,410.97,0
2021/07/02 19:00:00,0,0,0,0,0,0,0,0
2021/07/02 20:00:00,0,0,0,0,0,0,0,0
2021/07/02 21:00:00,0,0,0,0,0,0,0,0
2021/07/02 22:00:00,0,0,0,0,0,0,0,0
2021/07/02 23:00:00,0,0,0,0,0,0,0,0
2021/07/03 00:00:00,0,0,0,0,0,0,0,0
2021/07/03 01:00:00,0,0,0,0,0,0,0,0
2021/07/03 02:00:00,0,0,0,0,0,0,0,0
2021/07/03 03:00:00,0,0,0,0,0,0,0,0
2021/07/03 04:00:00,0,0,0,0,0,0,0,0
2021/07/03 05:00:00,1.44,0,0,0,0,0,126.28,0
2021/07/03 06:00:00,31.04,0.2,0.41,1.17,1.62,6.2,1564.06,0.09
2021/07/03 07:00:00,69.19,77.8,89.7,85.29,65.67,466.6,4160.7,28.94
2021/07/03 08:00:00,87.36,385.75,419.02,300.11,324.87,1724.4,4317.27,76.17
2021/07/03 09:00:00,176.33,428.65,474.02,501.68,577.65,2954.3,8729.25,143.02
2021/07/03 10:00:00,283.07,712.29,786.34,653.07,752.99,3769.6,12032.22,158.98
2021/07/03 11:00:00,291.42,686.38,675.74,722.75,853.35,4175.9,7154.23,173.61
2021/07/03 12:00:00,289.88,333.19,355.28,734.63,876.36,4217.5,6847.85,154.98
2021/07/03 13:00:00,211.09,125.19,134.59,666.63,823.16,3909.2,11001.91,94.08
2021/07/03 14:00:00,215.78,50.55,54.91,544.89,688.78,3203.9,12435.39,89.39
2021/07/03 15:00:00,114.94,30.6,35.07,349.09,406.7,2092.9,9072.18,41.01
2021/07/03 16:00:00,87.11,10.53,12.93,132.88,159.84,732.9,5303.09,11.32
2021/07/03 17:00:00,37.53,0.82,1.62,13.37,13.61,55.3,1583.88,0.55
2021/07/03 18:00:00,8.68,0,0,0,0,0,355.04,0
2021/07/03 19:00:00,0.07,0,0,0,0,0,0,0
2021/07/03 20:00:00,0,0,0,0,0,0,0,0
2021/07/03 21:00:00,0,0,0,0,0,0,0,0
2021/07/03 22:00:00,0,0,0,0,0,0,0,0
2021/07/03 23:00:00,0,0,0,0,0,0,0,0
2021/07/04 00:00:00,0,0,0,0,0,0,0,0
2021/07/04 01:00:00,0,0,0,0,0,0,0,0
2021/07/04 02:00:00,0,0,0,0,0,0,0,0
2021/07/04 03:00:00,0,0,0,0,0,0,0,0
2021/07/04 04:00:00,0,0,0,0,0,0,0,0
2021/07/04 05:00:00,4.57,0,0,0,0,0,168.67,0
2021/07/04 06:00:00,48.64,0.93,1.19,0.79,0.87,5.7,2071.15,0.3
2021/07/04 07:00:00,113.16,98.17,110.4,75.61,50.72,429.1,5720.63,54.66
